sls file,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,unfold5 file,unfold5 result,unfold5 duration,no_interp file,no_interp result,no_interp duration,sqlsolver filename,sqlsolver result,sqlsolver duration
bapa/arith/fol_0000077.smt2,sat,0.522620916,benchmarks/bapa/arith/cvc5_bapa/fol_0000077.smt2,sat,0.135823488,bapa/arith/fol_0000077.smt2,sat,0.596511126,bapa/arith/fol_0000077.smt2,sat,0.825562,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000077.smt2,SAT,0.223
bapa/arith/fol_0000078.smt2,unsat,0.17058754,benchmarks/bapa/arith/cvc5_bapa/fol_0000078.smt2,unsat,0.014173269,bapa/arith/fol_0000078.smt2,unsat,0.442375898,bapa/arith/fol_0000078.smt2,unsat,5.229626179,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000078.smt2,UNSAT,0.02
bapa/arith/fol_0000079.smt2,sat,0.89729023,benchmarks/bapa/arith/cvc5_bapa/fol_0000079.smt2,sat,0.07137394,bapa/arith/fol_0000079.smt2,sat,2.647873402,bapa/arith/fol_0000079.smt2,sat,0.89010787,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000079.smt2,SAT,0.206
bapa/arith/fol_0000080.smt2,sat,0.176881552,benchmarks/bapa/arith/cvc5_bapa/fol_0000080.smt2,sat,0.061158657,bapa/arith/fol_0000080.smt2,sat,2.949439287,bapa/arith/fol_0000080.smt2,sat,1.17219615,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000080.smt2,SAT,0.186
bapa/arith/fol_0000081.smt2,unsat,0.154901981,benchmarks/bapa/arith/cvc5_bapa/fol_0000081.smt2,unsat,0.010339499,bapa/arith/fol_0000081.smt2,unsat,0.543298721,bapa/arith/fol_0000081.smt2,unsat,2.836444616,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000081.smt2,UNSAT,0.016
bapa/arith/fol_0000082.smt2,sat,0.664121151,benchmarks/bapa/arith/cvc5_bapa/fol_0000082.smt2,sat,0.061781645,bapa/arith/fol_0000082.smt2,sat,0.903254986,bapa/arith/fol_0000082.smt2,sat,4.182101488,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000082.smt2,SAT,0.206
bapa/arith/fol_0000083.smt2,unsat,0.164179564,benchmarks/bapa/arith/cvc5_bapa/fol_0000083.smt2,unsat,0.010540485,bapa/arith/fol_0000083.smt2,unsat,0.430110455,bapa/arith/fol_0000083.smt2,unsat,2.742493153,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000083.smt2,UNSAT,0.027
bapa/arith/fol_0000084.smt2,sat,0.178159952,benchmarks/bapa/arith/cvc5_bapa/fol_0000084.smt2,sat,0.118254185,bapa/arith/fol_0000084.smt2,sat,0.545166731,bapa/arith/fol_0000084.smt2,sat,0.861112356,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000084.smt2,SAT,0.547
bapa/arith/fol_0000085.smt2,unsat,0.473218441,benchmarks/bapa/arith/cvc5_bapa/fol_0000085.smt2,unsat,0.117470741,bapa/arith/fol_0000085.smt2,unsat,3.277508497,bapa/arith/fol_0000085.smt2,unsat,6.670855761,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000085.smt2,UNSAT,0.24
bapa/arith/fol_0000086.smt2,unsat,0.204432011,benchmarks/bapa/arith/cvc5_bapa/fol_0000086.smt2,unsat,0.112854481,bapa/arith/fol_0000086.smt2,unsat,1.436189175,bapa/arith/fol_0000086.smt2,unsat,4.59654665,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000086.smt2,UNSAT,0.224
bapa/arith/fol_0000087.smt2,unsat,0.166501284,benchmarks/bapa/arith/cvc5_bapa/fol_0000087.smt2,unsat,0.010360479,bapa/arith/fol_0000087.smt2,unsat,0.472357273,bapa/arith/fol_0000087.smt2,unsat,2.59991622,/home/mudathir/all/sls-reachability/benchmarks/bapa/arith/cvc5_bapa/fol_0000087.smt2,UNSAT,0.019
