name,sat,problem_size,sls_size,z3_calls,interpolants_generated,merges,shiftdowns,offsets,total_time,reduction_time,augment_time,interpolation_time,solution_time
bapa/arith/fol_0000057.smt2,1,7,5,40,1,2,0,0,0.3965013027191162,0.07519388198852539,0.032401084899902344,0.09318757057189941,0.08008503913879395
bapa/arith/fol_0000058.smt2,0,7,5,54,4,2,1,0,0.47390007972717285,0.08065605163574219,0.0327143669128418,0.17439007759094238,0.07564210891723633
bapa/arith/fol_0000059.smt2,0,6,1,7,1,0,0,0,0.15601181983947754,0,0.005330085754394531,0.0220487117767334,0.01693582534790039
bapa/arith/fol_0000060.smt2,0,7,2,17,3,0,0,0,0.2344069480895996,1.0251998901367188e-05,0.011938333511352539,0.07513427734375,0.028713703155517578
bapa/arith/fol_0000061.smt2,0,7,5,51,4,1,1,0,0.4708273410797119,0.0782630443572998,0.03267550468444824,0.15991449356079102,0.08748888969421387
bapa/arith/fol_0000062.smt2,1,7,5,43,2,2,0,0,0.42225170135498047,0.06929945945739746,0.03235173225402832,0.12053775787353516,0.08383893966674805
bapa/arith/fol_0000063.smt2,0,7,2,19,4,0,0,0,0.23381447792053223,1.1682510375976562e-05,0.011826515197753906,0.08411502838134766,0.026738405227661133
bapa/arith/fol_0000064.smt2,0,6,1,7,1,0,0,0,0.1521766185760498,0,0.0052831172943115234,0.019239187240600586,0.016335725784301758
bapa/arith/fol_0000065.smt2,0,7,5,52,4,2,0,0,0.48354673385620117,0.07720780372619629,0.031965017318725586,0.17743396759033203,0.08261513710021973
bapa/arith/fol_0000066.smt2,0,7,6,63,5,2,0,0,0.5969493389129639,0.07553863525390625,0.04063892364501953,0.23955607414245605,0.12089681625366211
bapa/arith/fol_0000067.smt2,0,7,6,69,6,2,0,0,0.6085042953491211,0.07447242736816406,0.03989577293395996,0.26697373390197754,0.11218500137329102
bapa/arith/fol_0000068.smt2,0,7,2,17,3,0,0,0,0.2238461971282959,1.0013580322265625e-05,0.011683464050292969,0.07140135765075684,0.0277402400970459
bapa/arith/fol_0000069.smt2,1,7,6,58,4,2,0,0,0.5526626110076904,0.07465767860412598,0.03920149803161621,0.20159578323364258,0.11959362030029297
bapa/arith/fol_0000070.smt2,0,7,2,15,2,0,0,0,0.22388839721679688,9.298324584960938e-06,0.012763500213623047,0.06038713455200195,0.03625679016113281
bapa/arith/fol_0000071.smt2,1,7,6,50,2,2,0,0,0.5131268501281738,0.07352304458618164,0.04294705390930176,0.14927124977111816,0.12490057945251465
bapa/arith/fol_0000072.smt2,1,7,2,10,2,0,0,0,0.19146013259887695,1.1205673217773438e-05,0.01174306869506836,0.029726266860961914,0.030953645706176758
bapa/arith/fol_0000073.smt2,1,7,6,62,7,2,0,0,0.5896289348602295,0.0558924674987793,0.040909528732299805,0.2527580261230469,0.12169432640075684
bapa/arith/fol_0000074.smt2,1,7,5,43,2,2,0,0,0.4242072105407715,0.0675809383392334,0.031937599182128906,0.11930727958679199,0.08641314506530762
bapa/arith/fol_0000075.smt2,1,7,6,60,5,2,0,0,0.5609276294708252,0.08056974411010742,0.03987407684326172,0.210097074508667,0.1165170669555664
bapa/arith/fol_0000076.smt2,1,7,2,10,2,0,0,0,0.18892359733581543,8.821487426757812e-06,0.01136922836303711,0.029274702072143555,0.03333926200866699
bapa/arith/fol_0000077.smt2,1,7,6,52,3,2,0,0,0.5226209163665771,0.07427644729614258,0.039968013763427734,0.16269969940185547,0.12492990493774414
bapa/arith/fol_0000078.smt2,0,6,1,9,2,0,0,0,0.17058753967285156,0,0.005216121673583984,0.03208112716674805,0.019589900970458984
bapa/arith/fol_0000079.smt2,1,6,8,110,5,4,0,0,0.8972902297973633,0.223036527633667,0.05537009239196777,0.3206346035003662,0.1745438575744629
