filename,cvc5 result,cvc5 duration,sls,sls result,sls duration,is match
benchmarks/bapa/arith/cvc5/fol_0000080.smt2,sat,0.005513668,bapa/arith/fol_0000080.smt2,sat,0.483575821,TRUE
benchmarks/bapa/arith/cvc5/fol_0000081.smt2,unsat,0.005373001,bapa/arith/fol_0000081.smt2,  unsat,0.171390295,TRUE
benchmarks/bapa/arith/cvc5/fol_0000082.smt2,sat,0.005485296,bapa/arith/fol_0000082.smt2,sat,0.473784924,TRUE
benchmarks/bapa/arith/cvc5/fol_0000083.smt2,unsat,0.005238533,bapa/arith/fol_0000083.smt2,  unsat,0.168394327,TRUE
benchmarks/bapa/arith/cvc5/fol_0000084.smt2,sat,0.005814075,bapa/arith/fol_0000084.smt2,sat,0.519649506,TRUE
benchmarks/bapa/arith/cvc5/fol_0000085.smt2,unsat,0.008678913,bapa/arith/fol_0000085.smt2,  unsat,0.266604662,TRUE
benchmarks/bapa/arith/cvc5/fol_0000086.smt2,unsat,0.008761644,bapa/arith/fol_0000086.smt2,  unsat,0.26908946,TRUE
benchmarks/bapa/arith/cvc5/fol_0000087.smt2,unsat,0.004682064,bapa/arith/fol_0000087.smt2,  unsat,0.174173594,TRUE
benchmarks/bapa/arith/cvc5/fol_0000088.smt2,unsat,0.008483648,bapa/arith/fol_0000088.smt2,  unsat,0.242271423,TRUE
benchmarks/bapa/arith/cvc5/fol_0000089.smt2,unsat,0.008188963,bapa/arith/fol_0000089.smt2,  unsat,0.250668764,TRUE
benchmarks/bapa/arith/cvc5/fol_0000090.smt2,sat,0.005882502,bapa/arith/fol_0000090.smt2,sat,0.354595184,TRUE
benchmarks/bapa/arith/cvc5/fol_0000091.smt2,unsat,0.005002499,bapa/arith/fol_0000091.smt2,  unsat,0.172189951,TRUE
benchmarks/bapa/arith/cvc5/fol_0000092.smt2,unsat,0.004235983,bapa/arith/fol_0000092.smt2,  unsat,0.176059961,TRUE
