sls filename,sls result,sls duration,cvc5 lia filename,cvc5 lia result,cvc5 lia duration,lia normaliz,lia normaliz result,lia normaliz duration,unfold5 filename,unfold5 result,unfold5 duration,no_interp filename,no_interp result,no_interp duration
bapa/arith/fol_0000039.smt2,sat,0.287956715,benchmarks/bapa/arith/cvc5_mapa/fol_0000039.smt2,sat,0.012709141,benchmarks/bapa/arith/cvc5_mapa/fol_0000039.smt2,sat,0.012046099,bapa/arith/fol_0000039.smt2,sat,0.348492384,bapa/arith/fol_0000039.smt2,sat,0.210078001
bapa/arith/fol_0000040.smt2,unsat,0.155636787,benchmarks/bapa/arith/cvc5_mapa/fol_0000040.smt2,unsat,0.011268854,benchmarks/bapa/arith/cvc5_mapa/fol_0000040.smt2,unsat,0.010897875,bapa/arith/fol_0000040.smt2,unsat,0.178357363,bapa/arith/fol_0000040.smt2,unsat,0.364012957
bapa/arith/fol_0000041.smt2,sat,0.294837236,benchmarks/bapa/arith/cvc5_mapa/fol_0000041.smt2,sat,0.012781382,benchmarks/bapa/arith/cvc5_mapa/fol_0000041.smt2,sat,0.013046741,bapa/arith/fol_0000041.smt2,sat,0.369732618,bapa/arith/fol_0000041.smt2,sat,0.201135635
bapa/arith/fol_0000042.smt2,sat,0.299346685,benchmarks/bapa/arith/cvc5_mapa/fol_0000042.smt2,sat,0.010330439,benchmarks/bapa/arith/cvc5_mapa/fol_0000042.smt2,sat,0.011210203,bapa/arith/fol_0000042.smt2,sat,0.343509674,bapa/arith/fol_0000042.smt2,sat,0.189599276
bapa/arith/fol_0000043.smt2,sat,0.214483738,benchmarks/bapa/arith/cvc5_mapa/fol_0000043.smt2,sat,0.013598919,benchmarks/bapa/arith/cvc5_mapa/fol_0000043.smt2,sat,0.014955282,bapa/arith/fol_0000043.smt2,sat,0.283108234,bapa/arith/fol_0000043.smt2,sat,0.231384754
bapa/arith/fol_0000044.smt2,sat,0.301258087,benchmarks/bapa/arith/cvc5_mapa/fol_0000044.smt2,sat,0.011958599,benchmarks/bapa/arith/cvc5_mapa/fol_0000044.smt2,sat,0.012628794,bapa/arith/fol_0000044.smt2,sat,0.356312037,bapa/arith/fol_0000044.smt2,sat,0.195414305
bapa/arith/fol_0000045.smt2,unsat,4.047235489,benchmarks/bapa/arith/cvc5_mapa/fol_0000045.smt2,unsat,0.038336515,benchmarks/bapa/arith/cvc5_mapa/fol_0000045.smt2,unsat,0.035326958,bapa/arith/fol_0000045.smt2,unsat,0.238358021,bapa/arith/fol_0000045.smt2,unsat,0.330383778
bapa/arith/fol_0000046.smt2,sat,0.241448164,benchmarks/bapa/arith/cvc5_mapa/fol_0000046.smt2,sat,0.01864624,benchmarks/bapa/arith/cvc5_mapa/fol_0000046.smt2,sat,0.01993227,bapa/arith/fol_0000046.smt2,sat,0.284361124,bapa/arith/fol_0000046.smt2,sat,0.247641802
bapa/arith/fol_0000047.smt2,unsat,0.476460934,benchmarks/bapa/arith/cvc5_mapa/fol_0000047.smt2,unsat,0.040106297,benchmarks/bapa/arith/cvc5_mapa/fol_0000047.smt2,unsat,0.034976959,bapa/arith/fol_0000047.smt2,unsat,0.248365641,bapa/arith/fol_0000047.smt2,unsat,0.347085238
bapa/arith/fol_0000048.smt2,sat,0.421058893,benchmarks/bapa/arith/cvc5_mapa/fol_0000048.smt2,sat,0.019812107,benchmarks/bapa/arith/cvc5_mapa/fol_0000048.smt2,sat,0.021236897,bapa/arith/fol_0000048.smt2,sat,0.408489227,bapa/arith/fol_0000048.smt2,sat,0.254879475
bapa/arith/fol_0000049.smt2,sat,0.439365864,benchmarks/bapa/arith/cvc5_mapa/fol_0000049.smt2,sat,0.022224426,benchmarks/bapa/arith/cvc5_mapa/fol_0000049.smt2,sat,0.022798061,bapa/arith/fol_0000049.smt2,sat,0.215709686,bapa/arith/fol_0000049.smt2,sat,0.267008781
bapa/arith/fol_0000050.smt2,sat,0.137499094,benchmarks/bapa/arith/cvc5_mapa/fol_0000050.smt2,sat,0.017246723,benchmarks/bapa/arith/cvc5_mapa/fol_0000050.smt2,sat,0.016987324,bapa/arith/fol_0000050.smt2,sat,0.13468647,bapa/arith/fol_0000050.smt2,sat,0.130121231
bapa/arith/fol_0000051.smt2,sat,0.312210321,benchmarks/bapa/arith/cvc5_mapa/fol_0000051.smt2,sat,0.01616931,benchmarks/bapa/arith/cvc5_mapa/fol_0000051.smt2,sat,0.015257359,bapa/arith/fol_0000051.smt2,sat,0.487495899,bapa/arith/fol_0000051.smt2,sat,0.258080721
bapa/arith/fol_0000052.smt2,sat,0.187070131,benchmarks/bapa/arith/cvc5_mapa/fol_0000052.smt2,sat,0.020399094,benchmarks/bapa/arith/cvc5_mapa/fol_0000052.smt2,sat,0.02132988,bapa/arith/fol_0000052.smt2,sat,0.399971247,bapa/arith/fol_0000052.smt2,sat,0.260539293
bapa/arith/fol_0000053.smt2,sat,0.393288612,benchmarks/bapa/arith/cvc5_mapa/fol_0000053.smt2,sat,0.020820856,benchmarks/bapa/arith/cvc5_mapa/fol_0000053.smt2,sat,0.020979404,bapa/arith/fol_0000053.smt2,sat,0.409871578,bapa/arith/fol_0000053.smt2,sat,0.29468441
bapa/arith/fol_0000054.smt2,sat,0.4038167,benchmarks/bapa/arith/cvc5_mapa/fol_0000054.smt2,sat,0.019674063,benchmarks/bapa/arith/cvc5_mapa/fol_0000054.smt2,sat,0.020825624,bapa/arith/fol_0000054.smt2,sat,0.509564161,bapa/arith/fol_0000054.smt2,sat,0.276138067
bapa/arith/fol_0000055.smt2,unsat,0.163058996,benchmarks/bapa/arith/cvc5_mapa/fol_0000055.smt2,unsat,0.012516737,benchmarks/bapa/arith/cvc5_mapa/fol_0000055.smt2,unsat,0.01176548,bapa/arith/fol_0000055.smt2,unsat,0.179372787,bapa/arith/fol_0000055.smt2,unsat,0.372318506
bapa/arith/fol_0000056.smt2,sat,0.433022261,benchmarks/bapa/arith/cvc5_mapa/fol_0000056.smt2,sat,0.015625954,benchmarks/bapa/arith/cvc5_mapa/fol_0000056.smt2,sat,0.013240814,bapa/arith/fol_0000056.smt2,sat,0.483642817,bapa/arith/fol_0000056.smt2,sat,0.225832462
